Datetime,Open,High,Low,Close,Volume,ticker,company
,AXP,AXP,AXP,AXP,AXP,,
2025-02-25 14:30:00+00:00,296.989990234375,298.40899658203125,289.6000061035156,289.6700134277344,399990,AXP,American Express
2025-02-25 15:30:00+00:00,289.75,293.6990051269531,289.5299987792969,292.0150146484375,365327,AXP,American Express
2025-02-25 16:30:00+00:00,291.94000244140625,293.1099853515625,290.6300048828125,292.260009765625,224655,AXP,American Express
2025-02-25 17:30:00+00:00,292.25,294.9024963378906,292.1300048828125,293.1499938964844,213604,AXP,American Express
2025-02-25 18:30:00+00:00,293.04998779296875,295.0400085449219,292.9800109863281,294.239990234375,178289,AXP,American Express
2025-02-25 19:30:00+00:00,294.29998779296875,296.489990234375,294.2132873535156,295.75,204794,AXP,American Express
2025-02-25 20:30:00+00:00,295.6499938964844,295.6499938964844,293.0,293.4100036621094,370632,AXP,American Express
2025-02-26 14:30:00+00:00,295.1400146484375,298.989990234375,293.6700134277344,298.2200012207031,405368,AXP,American Express
2025-02-26 15:30:00+00:00,298.1700134277344,299.3410949707031,297.6099853515625,297.8299865722656,218477,AXP,American Express
2025-02-26 16:30:00+00:00,297.875,299.19000244140625,297.3599853515625,298.87799072265625,153574,AXP,American Express
2025-02-26 17:30:00+00:00,298.8399963378906,298.9649963378906,296.364990234375,296.364990234375,153035,AXP,American Express
2025-02-26 18:30:00+00:00,296.489990234375,296.9200134277344,295.6499938964844,295.75,133290,AXP,American Express
2025-02-26 19:30:00+00:00,295.75,296.4700012207031,295.2200012207031,295.8800048828125,224115,AXP,American Express
2025-02-26 20:30:00+00:00,295.8399963378906,296.7850036621094,295.635009765625,296.260009765625,284116,AXP,American Express
2025-02-27 14:30:00+00:00,296.0,301.0,295.3399963378906,299.44000244140625,311179,AXP,American Express
2025-02-27 15:30:00+00:00,299.5050048828125,300.3599853515625,298.25,298.6099853515625,176446,AXP,American Express
2025-02-27 16:30:00+00:00,298.5799865722656,299.2300109863281,296.54998779296875,297.94000244140625,147884,AXP,American Express
2025-02-27 17:30:00+00:00,298.0899963378906,298.55999755859375,296.9100036621094,298.19500732421875,92877,AXP,American Express
